"  _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   SLprs,_inHG ","   SLtmp,_degC ","   _wind,speed ","   _wind,__dir ","   __trb,_locl ","   _prec,_locl ","   _hail,_locl ","   AMprs,_inHG ","   AMtmp,_degC ","   LEtmp,_degC ","   _dens,ratio ","   ____A,_ktas ","   ____Q,__psf ","   gravi,_fts2 ","   baro_,_inHG ","   edens,_part ","   vacum,ratio ","   vacum,ratio ","   _elec,ratio ","   _elec,ratio ","   _AHRS,ratio ","   _AHRS,ratio ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ", 
0,0.03615,0.03619,0.03619,0,0.04164,0.04164,29.91262,15.068,0,0,0,0,0,29.85962,14.98065,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99821,1.26623,1.26623,1,1,1,1,-37.02663,-73.50541,44.082,0.83462,1,-4.96441,-37.5,-74, 
0,0.02701,0.02703,0.02703,0,0.03111,0.03111,29.91262,15.068,0,0,0,0,0,29.85962,14.98065,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.26462,1.26462,1,1,1,1,-37.02663,-73.50541,44.08285,0.83543,1,-4.82848,-37.5,-74, 
0,0.0239,0.02392,0.02392,0,0.02752,0.02752,29.91262,15.068,0,0,0,0,0,29.85962,14.98065,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.2631,1.2631,1,1,1,1,-37.02663,-73.50541,44.08585,0.8384,1,-4.70826,-37.5,-74, 
0,0.02249,0.02251,0.02251,0,0.0259,0.0259,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.2618,1.2618,1,1,1,1,-37.02663,-73.50541,44.08928,0.84182,1,-4.61154,-37.5,-74, 
0,0.02428,0.0243,0.0243,0,0.02797,0.02797,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.26042,1.26042,1,1,1,1,-37.02663,-73.50541,44.09251,0.84507,1,-4.5154,-37.5,-74, 
0,0.0302,0.03023,0.03023,0,0.03479,0.03479,29.91262,15.068,0,0,0,0,0,29.8596,14.98063,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.25933,1.25933,1,1,1,1,-37.02663,-73.50541,44.09393,0.84651,1,-4.44513,-37.5,-74, 
0,0.03672,0.03675,0.03675,0,0.0423,0.0423,29.91262,15.068,0,0,0,0,0,29.8596,14.98063,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99821,1.25836,1.25836,1,1,1,1,-37.02663,-73.50541,44.09406,0.84667,1,-4.38572,-37.5,-74, 
0,0.04113,0.04117,0.04117,0,0.04738,0.04738,29.91262,15.068,0,0,0,0,0,29.8596,14.98063,14.98062,0.99823,661.39539,0.00001,32.14645,29.86,0.99821,1.25749,1.25749,1,1,1,1,-37.02663,-73.50541,44.09338,0.84631,1,-4.33632,-37.5,-74, 
0,0.04318,0.04322,0.04322,0,0.04973,0.04973,29.91262,15.068,0,0,0,0,0,29.8596,14.98063,14.98062,0.99823,661.39539,0.00001,32.14645,29.86,0.99821,1.25668,1.25668,1,1,1,1,-37.02663,-73.50541,44.09237,0.84524,1,-4.29326,-37.5,-74, 
0,0.04346,0.0435,0.0435,0,0.05006,0.05006,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0.00001,32.14645,29.86,0.99821,1.25597,1.25597,1,1,1,1,-37.02663,-73.50541,44.09153,0.84442,1,-4.25731,-37.5,-74, 
0,0.04278,0.04282,0.04282,0,0.04928,0.04928,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0.00001,32.14645,29.86,0.99821,1.25531,1.25531,1,1,1,1,-37.02663,-73.50541,44.09105,0.84414,1,-4.2266,-37.5,-74, 
0,0.04109,0.04113,0.04112,0,0.04733,0.04733,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0.00001,32.14645,29.86,0.99821,1.25461,1.25461,1,1,1,1,-37.02663,-73.50541,44.09093,0.84402,1,-4.19618,-37.5,-74, 
0,0.0382,0.03823,0.03823,0,0.044,0.044,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99821,1.25398,1.25398,1,1,1,1,-37.02663,-73.50541,44.09109,0.84417,1,-4.17113,-37.5,-74, 
0,0.03457,0.0346,0.0346,0,0.03982,0.03982,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99821,1.2535,1.2535,1,1,1,1,-37.02663,-73.50541,44.09122,0.84449,1,-4.15334,-37.5,-74, 
0,0.02993,0.02995,0.02995,0,0.03447,0.03447,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.25307,1.25307,1,1,1,1,-37.02663,-73.50541,44.09121,0.84447,1,-4.13843,-37.5,-74, 
0,0.02295,0.02297,0.02297,0,0.02643,0.02643,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.25259,1.25259,1,1,1,1,-37.02663,-73.50541,44.09096,0.84429,1,-4.1231,-37.5,-74, 
0,0.01629,0.01631,0.01631,0,0.01876,0.01876,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.25222,1.25222,1,1,1,1,-37.02663,-73.50541,44.09061,0.84393,1,-4.11242,-37.5,-74, 
0,0.00943,0.00943,0.00943,0,0.01086,0.01086,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.2519,1.2519,1,1,1,1,-37.02663,-73.50541,44.09026,0.84357,1,-4.10364,-37.5,-74, 
0,0.00297,0.00297,0.00297,0,0.00342,0.00342,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.2516,1.2516,1,1,1,1,-37.02663,-73.50541,44.09001,0.84331,1,-4.09588,-37.5,-74, 
0,0.00648,0.00648,0.00648,0,0.00746,0.00746,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.25131,1.25131,1,1,1,1,-37.02663,-73.50541,44.08995,0.84325,1,-4.0893,-37.5,-74, 
0,0.0141,0.01411,0.01411,0,0.01624,0.01624,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.25102,1.25102,1,1,1,1,-37.02663,-73.50541,44.09012,0.84342,1,-4.08302,-37.5,-74, 
0,0.02067,0.02069,0.02069,0,0.02381,0.02381,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.25076,1.25076,1,1,1,1,-37.02663,-73.50541,44.09047,0.84378,1,-4.07794,-37.5,-74, 
0,0.02581,0.02584,0.02583,0,0.02973,0.02973,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.25053,1.25053,1,1,1,1,-37.02663,-73.50541,44.09086,0.84408,1,-4.07379,-37.5,-74, 
0,0.02896,0.02899,0.02899,0,0.03336,0.03336,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.25035,1.25035,1,1,1,1,-37.02663,-73.50541,44.09114,0.84437,1,-4.07085,-37.5,-74, 
0,0.03117,0.0312,0.0312,0,0.0359,0.0359,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.25016,1.25016,1,1,1,1,-37.02663,-73.50541,44.09139,0.84463,1,-4.06795,-37.5,-74, 
0,0.03178,0.03181,0.03181,0,0.03661,0.03661,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99821,1.25,1.25,1,1,1,1,-37.02663,-73.50541,44.0915,0.84454,1,-4.06555,-37.5,-74, 
0,0.03085,0.03088,0.03087,0,0.03553,0.03553,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.24984,1.24984,1,1,1,1,-37.02663,-73.50541,44.09146,0.84452,1,-4.06355,-37.5,-74, 
0,0.02892,0.02895,0.02895,0,0.03331,0.03331,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.24973,1.24973,1,1,1,1,-37.02663,-73.50541,44.09138,0.84433,1,-4.06211,-37.5,-74, 
0,0.02556,0.02558,0.02558,0,0.02944,0.02944,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.2496,1.2496,1,1,1,1,-37.02663,-73.50541,44.09127,0.84412,1,-4.06072,-37.5,-74, 
0,0.02185,0.02187,0.02187,0,0.02517,0.02517,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98062,0.99823,661.39539,0,32.14645,29.86,0.99822,1.24951,1.24951,1,1,1,1,-37.02663,-73.50541,44.09119,0.84404,1,-4.05973,-37.5,-74, 
0,0.0166,0.01661,0.01661,0,0.01912,0.01912,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99822,1.24941,1.24941,1,1,1,1,-37.02663,-73.50541,44.09113,0.84398,1,-4.05873,-37.5,-74, 
0,0.01167,0.01168,0.01168,0,0.01344,0.01344,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.24933,1.24933,1,1,1,1,-37.02663,-73.50541,44.09111,0.84396,1,-4.05804,-37.5,-74, 
0,0.0066,0.0066,0.0066,0,0.0076,0.0076,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.24926,1.24926,1,1,1,1,-37.02663,-73.50541,44.09111,0.84396,1,-4.05747,-37.5,-74, 
0,0.00147,0.00147,0.00147,0,0.0017,0.0017,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.24919,1.24919,1,1,1,1,-37.02663,-73.50541,44.09112,0.84396,1,-4.05696,-37.5,-74, 
0,0.00411,0.00412,0.00412,0,0.00474,0.00474,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0,32.14645,29.86,0.99823,1.24913,1.24913,1,1,1,1,-37.02663,-73.50541,44.09112,0.84396,1,-4.05655,-37.5,-74, 
