"  _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ","   wing1,_lift ","   wing1,_lift ","   wing2,_lift ","   wing2,_lift ","   wing3,_lift ","   wing3,_lift ","   wing1,_drag ","   wing1,_drag ","   wing2,_drag ","   wing2,_drag ","   wing3,_drag ","   wing3,_drag ", 
89.67328,88.00048,89.02173,89.0172,103.19417,102.44437,102.44439,2.56219,0.20862,5.50114,-0.57822,0.03668,-36.48514,-73.0523,998.01385,995.43213,0,990.48334,-36.5,-73,610.79004,613.21014,626.70514,629.6958,24.59412,22.36385,34.62268,34.86012,21.1673,21.32976,0.62527,0.59924, 
88.83797,87.16992,88.1806,88.17649,102.23292,101.47642,101.47642,2.68739,0.19739,5.44481,-0.55248,0.04822,-36.48494,-73.05228,997.2937,994.71448,0,989.69055,-36.5,-73,608.34338,610.82166,627.75519,630.43207,25.18399,23.12811,34.91246,35.15758,21.49586,21.63978,0.62613,0.6013, 
87.94747,86.30505,87.30479,87.30109,101.20815,100.46856,100.46855,2.82046,0.17188,5.38586,-0.52646,0.05342,-36.48473,-73.05225,996.58502,994.008,0,988.90283,-36.5,-73,605.82538,608.17743,628.70154,631.09393,25.71159,23.979,35.2282,35.46495,21.84545,21.97511,0.62644,0.60477, 
87.12816,85.47647,86.4658,86.46246,100.2653,99.50307,99.50307,2.95112,0.15056,5.33068,-0.50346,0.05315,-36.48454,-73.05223,995.94312,993.36792,0,988.18494,-36.5,-73,603.41925,605.63135,629.48163,631.67249,26.22293,24.75758,35.54043,35.76861,22.18523,22.3069,0.6281,0.60838, 
86.27039,84.62454,85.60322,85.60018,99.27819,98.51043,98.51042,3.08889,0.14071,5.27771,-0.48219,0.05051,-36.48434,-73.05221,995.31738,992.74371,0,987.48615,-36.5,-73,600.88977,603.02209,630.15643,632.21838,26.80418,25.48108,35.86855,36.09485,22.54422,22.66395,0.63041,0.61236, 
85.40177,83.76974,84.7378,84.73501,98.27861,97.51453,97.51451,3.23136,0.14172,5.23061,-0.46387,0.04803,-36.48414,-73.05219,994.72064,992.14838,0,986.82056,-36.5,-73,598.34064,600.45563,630.77271,632.76556,27.43933,26.14126,36.20849,36.4384,22.91712,23.03843,0.63485,0.61585, 
84.51347,82.91226,83.86969,83.86712,97.25637,96.51552,96.51552,3.37889,0.14623,5.19067,-0.44859,0.04674,-36.48395,-73.05216,994.14886,991.57758,0,986.18707,-36.5,-73,595.80957,597.91125,631.37494,633.32343,28.09196,26.77846,36.56652,36.79976,23.30785,23.43125,0.64027,0.62022, 
83.66532,82.05275,82.9996,82.99719,96.28033,95.51423,95.51424,3.53183,0.14764,5.15806,-0.43639,0.0462,-36.48375,-73.05214,993.59833,991.02802,0,985.58301,-36.5,-73,593.36713,595.40826,632.00446,633.90302,28.72561,27.42256,36.94788,37.17818,23.72116,23.84503,0.6461,0.62552, 
82.76041,81.18362,82.11979,82.11749,95.23898,94.50177,94.50175,3.69161,0.14413,5.13199,-0.42689,0.0455,-36.48356,-73.05212,993.06061,990.49084,0,984.99963,-36.5,-73,590.93976,592.85913,632.64478,634.49805,29.3416,28.09275,37.35762,37.57769,24.16019,24.28416,0.6523,0.63189, 
81.96046,80.37837,81.30467,81.30249,94.31841,93.56374,93.56375,3.84515,0.13857,5.11341,-0.42048,0.04426,-36.48338,-73.0521,992.57623,990.00684,0,984.47931,-36.5,-73,588.80005,590.57684,633.30243,635.11407,29.89972,28.71964,37.76088,37.96789,24.58795,24.71269,0.6593,0.6386, 
81.07021,79.51772,80.43349,80.43138,93.29394,92.56122,92.56122,4.015,0.13364,5.09887,-0.4156,0.04244,-36.48319,-73.05208,992.07062,989.50134,0,983.94189,-36.5,-73,586.55304,588.1759,634.03357,635.81726,30.50109,29.38321,38.21471,38.40709,25.06977,25.19735,0.66713,0.6472, 
