f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
92.34150;93.65927;0.01083;0.01047;0.00353;1.00000;1.00000;90.92834;92.14117;93.23127;93.22922;104.63847;107.28864;107.28863;1.63125;-2.58664;5.36814;0.37944;-1.44256;-36.72652;-73.08183;1013.19122;1009.45581;0.00000;1002.77460;-36.50000;-73.00000;2513.40649;225.02734;-56.90170;258.13904;-251.55675;46.12923;11.16934;0.43186;0.03867;9.04345;682.89941;604.82458;577.24561;587.38165;5.89337;28.93129;35.90828;29.86604;17.68263;18.10366;0.59135;0.78034;81.58954;-61.60489;6.59537;4.79674;4.36968;2.44212
92.95651;91.18262;0.01076;0.01047;0.00356;1.00000;1.00000;91.94400;92.90781;94.00812;94.00742;105.80727;108.18261;108.18261;1.55323;-2.11496;5.58160;0.22077;-1.42223;-36.72609;-73.08178;1014.02039;1010.32587;0.00000;1003.95679;-36.50000;-73.00000;2512.75610;224.29343;-45.20122;230.62794;-230.29332;4.31933;11.20299;0.42466;0.03791;9.29667;677.85931;609.80963;578.91821;588.59393;7.45079;26.10399;35.20116;29.99193;17.58708;18.01617;0.59928;0.74587;70.48698;-52.47083;3.11340;4.42669;4.10980;2.27897
91.68919;80.52178;0.01091;0.01075;0.00374;1.00000;1.00000;92.75568;93.50648;94.61446;94.61434;106.74133;108.88038;108.88036;1.52197;-1.71069;5.82847;0.08457;-1.26892;-36.72565;-73.08173;1014.43500;1010.78052;0.00000;1004.77155;-36.50000;-73.00000;2523.87427;224.60214;-35.83642;226.57846;-228.94019;-33.31711;11.23709;0.42109;0.03747;9.33259;676.09344;615.55194;583.29718;592.09650;9.48723;23.66888;34.91616;30.28823;17.67146;18.05095;0.60832;0.72113;65.09772;-47.32161;-0.14214;4.25754;3.97923;2.19337
93.83719;98.57072;0.01066;0.01055;0.00366;1.00000;1.00000;93.40094;94.06155;95.17625;95.17625;107.48389;109.52689;109.52689;1.48968;-1.74269;6.00086;-0.00020;-1.16128;-36.72522;-73.08167;1014.54053;1010.92493;0.00000;1005.19788;-36.50000;-73.00000;2535.07764;226.02713;-39.63988;231.79295;-228.82126;5.41305;11.21581;0.41798;0.03727;9.26346;678.61212;618.37903;587.31732;594.87439;8.96961;23.79709;34.96251;30.35306;17.75849;18.06597;0.61051;0.72580;63.88544;-46.52085;2.52258;4.22641;3.96804;2.18568
93.45699;95.04800;0.01070;0.01044;0.00367;1.00000;1.00000;93.98153;94.63779;95.75925;95.75924;108.15202;110.19778;110.19778;1.44829;-1.75846;6.07004;-0.03407;-1.12311;-36.72478;-73.08161;1014.48083;1010.90320;0.00000;1005.33777;-36.50000;-73.00000;2545.79297;227.21910;-40.61488;234.80931;-230.11981;5.01454;11.20413;0.41465;0.03701;9.23823;682.21875;621.53839;590.08740;597.23444;8.48602;23.73048;35.01542;30.40457;17.78065;18.06531;0.61532;0.73061;64.24008;-47.34407;2.75900;4.25765;4.00923;2.20657
91.32768;94.33072;0.01095;0.01049;0.00366;1.00000;1.00000;94.56048;95.21377;96.34190;96.34188;108.81826;110.86829;110.86828;1.39408;-1.72804;6.07341;-0.03215;-1.09776;-36.72433;-73.08155;1014.38245;1010.84174;0.00000;1005.31165;-36.50000;-73.00000;2550.69458;228.02469;-40.46742;232.43556;-229.86333;2.36525;11.18605;0.41044;0.03669;9.28679;684.34186;624.40210;591.11145;597.90051;8.10535;23.27303;34.91731;30.40616;17.72741;17.98911;0.62089;0.73168;63.76168;-47.57936;2.76129;4.26974;4.04123;2.22385
93.37218;89.91998;0.01071;0.01059;0.00371;1.00000;1.00000;95.13118;95.74749;96.88183;96.88181;109.47501;111.48962;111.48962;1.33613;-1.69903;6.03303;-0.02479;-1.08478;-36.72389;-73.08150;1014.30261;1010.79785;0.00000;1005.23181;-36.50000;-73.00000;2550.01904;228.47281;-40.68751;226.57355;-226.18558;8.45599;11.16115;0.40577;0.03636;9.33331;684.93451;626.33569;590.86530;597.11139;7.59051;22.80832;34.71741;30.35054;17.62758;17.86094;0.62518;0.73179;62.05619;-46.81979;3.32745;4.24348;4.04512;2.22794
92.80671;99.81036;0.01078;0.01043;0.00362;1.00000;1.00000;95.66039;96.21626;97.35606;97.35606;110.08401;112.03535;112.03537;1.28426;-1.62603;5.97491;-0.02704;-1.07011;-36.72344;-73.08144;1014.23145;1010.76129;0.00000;1005.15747;-36.50000;-73.00000;2548.11670;228.62892;-39.30755;220.23125;-221.85599;4.44790;11.14521;0.40153;0.03603;9.37406;684.57288;628.02692;590.50952;596.29779;7.40215;22.07944;34.48240;30.30837;17.53523;17.74686;0.62927;0.72903;59.88015;-45.56862;3.11603;4.20014;4.03192;2.22007
93.11331;82.49464;0.01074;0.01054;0.00367;1.00000;1.00000;96.13789;96.65138;97.79620;97.79620;110.63351;112.54186;112.54188;1.24027;-1.55920;5.92096;-0.03625;-1.03900;-36.72300;-73.08138;1014.14142;1010.70477;0.00000;1005.07880;-36.50000;-73.00000;2547.80200;225.96623;-37.31705;216.39047;-219.52557;2.68458;11.27514;0.39787;0.03529;9.50950;684.59656;629.74371;590.64240;596.00055;7.29287;21.41191;34.30740;30.28670;17.47208;17.66321;0.63323;0.72635;58.15144;-44.51500;2.91553;4.16908;4.02224;2.21376
93.82856;101.31712;0.01066;0.01044;0.00362;1.00000;1.00000;96.57983;97.04910;98.19846;98.19841;111.14209;113.00477;113.00476;1.20073;-1.52153;5.87199;-0.04799;-1.01261;-36.72255;-73.08132;1014.02032;1010.61615;0.00000;1004.98486;-36.50000;-73.00000;2547.75781;226.28719;-37.02808;212.56166;-216.70514;5.79198;11.25896;0.39461;0.03505;9.52926;684.86975;631.13428;590.72522;595.79126;7.05077;20.94679;34.17059;30.25362;17.41422;17.59169;0.63647;0.72544;56.62532;-43.69541;3.14265;4.14410;4.01682;2.21063
