f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
97.30526;95.78544;0.01028;0.01055;0.00370;1.00000;1.00000;100.33862;100.33066;101.51212;101.51209;115.46762;116.81808;116.81808;9.39647;0.25140;0.02675;8.14801;526.00140;486.00876;384.39285;388.28275;-12.08589;-3.37922;21.59269;19.46038;10.50416;10.59659;0.68652;0.66268;19.53608;-48.18087;1.67820;3.56514;3.97678;2.21844
96.70528;99.65122;0.01034;0.01016;0.00352;1.00000;1.00000;100.31299;100.30940;101.49043;101.49040;115.43813;116.79310;116.79310;9.39760;0.25148;0.02676;8.15821;525.99133;485.88873;384.32907;388.25241;-12.09719;-3.33845;21.59521;19.45660;10.50217;10.59524;0.68640;0.66248;19.66463;-48.28051;1.70290;3.56621;3.97831;2.21905
96.61823;91.42439;0.01035;0.01039;0.00355;1.00000;1.00000;100.29015;100.28674;101.46732;101.46730;115.41184;116.76652;116.76651;9.39904;0.25155;0.02676;8.16690;525.89294;485.75586;384.25992;388.20322;-12.09363;-3.31272;21.59344;19.45267;10.49999;10.59341;0.68614;0.66220;19.71821;-48.30953;1.70375;3.56577;3.97789;2.21873
96.98194;97.10625;0.01031;0.01025;0.00352;1.00000;1.00000;100.26691;100.26175;101.44189;101.44187;115.38511;116.73726;116.73725;9.40113;0.25165;0.02677;8.15566;525.77875;485.63461;384.23688;388.16226;-12.07692;-3.29144;21.59155;19.44991;10.49880;10.59178;0.68578;0.66188;19.75352;-48.30953;1.69837;3.56476;3.97663;2.21801
97.71815;96.35769;0.01023;0.01032;0.00355;1.00000;1.00000;100.24323;100.23909;101.41885;101.41884;115.35785;116.71072;116.71073;9.40324;0.25175;0.02677;8.14740;525.71301;485.53815;384.24390;388.14740;-12.06540;-3.26385;21.59204;19.44812;10.49839;10.59085;0.68548;0.66159;19.80315;-48.32144;1.70739;3.56413;3.97583;2.21753
96.28961;92.89363;0.01039;0.01007;0.00348;1.00000;1.00000;100.22004;100.21779;101.39719;101.39719;115.33117;116.68581;116.68581;9.40504;0.25185;0.02678;8.16028;525.68036;485.44702;384.22009;388.15115;-12.05825;-3.23566;21.59378;19.44621;10.49728;10.59040;0.68524;0.66136;19.89115;-48.37397;1.70736;3.56438;3.97617;2.21755
97.41434;94.46439;0.01027;0.01007;0.00348;1.00000;1.00000;100.19910;100.20058;101.37968;101.37967;115.30707;116.66566;116.66566;9.40647;0.25193;0.02678;8.15706;525.68158;485.36984;384.21674;388.14520;-12.05764;-3.20688;21.59668;19.44438;10.49676;10.58982;0.68509;0.66118;19.98028;-48.43644;1.71326;3.56494;3.97694;2.21780
94.64964;101.26582;0.01057;0.01013;0.00350;1.00000;1.00000;100.18165;100.18626;101.36512;101.36511;115.28699;116.64890;116.64890;9.40746;0.25199;0.02679;8.16662;525.66907;485.29019;384.18295;388.13861;-12.06096;-3.18230;21.59825;19.44197;10.49559;10.58930;0.68498;0.66102;20.05117;-48.48674;1.72318;3.56535;3.97754;2.21801
87.89439;92.15741;0.01138;0.01029;0.00351;1.00000;1.00000;100.16647;100.17094;101.34956;101.34956;115.26952;116.63100;116.63100;9.40865;0.25204;0.02679;8.16725;525.60858;485.20264;384.15637;388.11676;-12.05518;-3.16616;21.59759;19.43948;10.49453;10.58843;0.68478;0.66083;20.07778;-48.49620;1.72169;3.56484;3.97698;2.21765
98.81604;100.98969;0.01012;0.00997;0.00445;1.00000;1.00000;100.14066;100.14428;101.32249;101.32249;115.23982;116.59985;116.59984;9.41227;0.25220;0.02679;8.17305;525.56146;485.13666;384.22458;388.19229;-12.02833;-3.13427;21.60046;19.44028;10.49540;10.58968;0.68434;0.66047;20.11484;-48.47862;1.71935;3.56363;3.97525;2.21673
98.91244;101.16338;0.01011;0.01001;0.00297;1.00000;1.00000;100.12494;100.12954;101.30753;101.30753;115.22173;116.58263;116.58263;9.41423;0.25229;0.02680;8.16162;525.55554;485.10446;384.27173;388.22284;-12.01208;-3.11826;21.60299;19.44082;10.49610;10.59011;0.68412;0.66029;20.16300;-48.49159;1.70715;3.56348;3.97492;2.21649
97.18939;94.27736;0.01029;0.01144;0.00341;1.00000;1.00000;100.11075;100.11926;101.29710;101.29710;115.20540;116.57063;116.57063;9.41511;0.25235;0.02680;8.17546;525.59973;485.06915;384.26788;388.24841;-12.01547;-3.09501;21.60698;19.44017;10.49574;10.59050;0.68407;0.66021;20.25631;-48.56412;1.71660;3.56458;3.97635;2.21708
98.27216;99.64130;0.01018;0.00998;0.00353;1.00000;1.00000;100.10046;100.11214;101.28986;101.28986;115.19355;116.56229;116.56230;9.41534;0.25238;0.02680;8.16788;525.60596;485.01465;384.23721;388.23294;-12.02544;-3.07663;21.60831;19.43803;10.49484;10.58994;0.68407;0.66015;20.30552;-48.60820;1.73297;3.56508;3.97712;2.21741
97.24728;97.16284;0.01028;0.01008;0.00361;1.00000;1.00000;100.09183;100.09986;101.27741;101.27742;115.18362;116.54797;116.54798;9.41620;0.25241;0.02681;8.16857;525.52826;484.93661;384.19629;388.20660;-12.01807;-3.06918;21.60614;19.43565;10.49353;10.58902;0.68388;0.65998;20.30982;-48.60032;1.72430;3.56436;3.97626;2.21693
96.40885;95.48363;0.01037;0.01006;0.00368;1.00000;1.00000;100.08123;100.09019;101.26761;101.26762;115.17142;116.53669;116.53670;9.41725;0.25246;0.02681;8.17691;525.50049;484.90161;384.20657;388.21021;-12.00810;-3.06132;21.60644;19.43525;10.49349;10.58891;0.68373;0.65986;20.32839;-48.60213;1.71951;3.56404;3.97583;2.21667
94.36769;84.32414;0.01060;0.01046;0.00376;1.00000;1.00000;100.07117;100.08167;101.25898;101.25899;115.15984;116.52676;116.52676;9.41810;0.25250;0.02681;8.17181;525.47980;484.86652;384.20831;388.21393;-12.00335;-3.05087;21.60687;19.43464;10.49331;10.58881;0.68361;0.65975;20.34805;-48.60774;1.72159;3.56383;3.97556;2.21650
95.83929;94.43762;0.01043;0.00997;0.00371;1.00000;1.00000;100.06312;100.07465;101.25185;101.25185;115.15058;116.51855;116.51855;9.41866;0.25253;0.02681;8.16643;525.47986;484.83569;384.20239;388.21265;-12.00150;-3.04123;21.60799;19.43390;10.49298;10.58862;0.68355;0.65969;20.38865;-48.63630;1.71978;3.56414;3.97597;2.21664
95.70721;96.25565;0.01045;0.01018;0.00367;1.00000;1.00000;100.05526;100.06754;101.24467;101.24467;115.14154;116.51029;116.51030;9.41910;0.25256;0.02681;8.16893;525.46716;484.79471;384.18317;388.21252;-12.00490;-3.02718;21.60849;19.43266;10.49234;10.58845;0.68349;0.65960;20.41294;-48.65438;1.73595;3.56415;3.97607;2.21665
97.13527;95.84971;0.01029;0.00992;0.00367;1.00000;1.00000;100.04747;100.06033;101.23736;101.23735;115.13258;116.50188;116.50187;9.41968;0.25259;0.02681;8.16864;525.43976;484.75537;384.17459;388.18848;-11.99779;-3.02481;21.60811;19.43155;10.49194;10.58770;0.68339;0.65952;20.43748;-48.66573;1.71575;3.56414;3.97601;2.21657
98.24505;97.01202;0.01018;0.01002;0.00367;1.00000;1.00000;100.04083;100.05322;101.23017;101.23016;115.12494;116.49361;116.49360;9.42406;0.25287;0.02683;8.17384;525.77496;485.07507;384.54431;388.76807;-11.95765;-2.96774;21.63042;19.45145;10.50061;10.60168;0.68315;0.65941;21.25583;-49.50574;1.72784;3.57015;4.04961;2.21656
93.63998;98.53188;0.01068;0.00999;0.00369;1.00000;1.00000;100.03354;100.04615;101.22308;101.22307;115.11655;116.48545;116.48544;9.41556;0.25252;0.02682;8.16291;525.28943;484.53934;383.86700;388.09991;-12.01983;-3.01548;21.60090;19.42106;10.48416;10.58530;0.68336;0.65940;21.23318;-49.60062;1.73338;3.56982;4.05103;2.21691
95.57388;95.68462;0.01046;0.01010;0.00365;1.00000;1.00000;100.02655;100.04180;101.21871;101.21871;115.10851;116.48042;116.48042;9.41575;0.25254;0.02682;8.16715;525.30249;484.50836;383.85172;388.09601;-12.02102;-3.00905;21.60219;19.41983;10.48364;10.58515;0.68335;0.65937;21.27072;-49.64235;1.72739;3.57036;4.05177;2.21718
97.62698;93.22270;0.01024;0.01001;0.00365;1.00000;1.00000;100.02316;100.04187;101.21877;101.21877;115.10461;116.48049;116.48049;9.41718;0.25260;0.02682;8.17704;525.40393;484.58423;383.95096;388.21960;-12.01583;-2.99478;21.60836;19.42420;10.48599;10.58819;0.68334;0.65937;21.29625;-49.65146;1.73222;3.57078;4.05206;2.21735
95.07885;100.20042;0.01052;0.01012;0.00367;1.00000;1.00000;100.02194;100.04181;101.21872;101.21873;115.10320;116.48043;116.48044;9.41833;0.25265;0.02683;8.17856;525.44977;484.64139;384.02261;388.31018;-12.00659;-2.98982;21.61145;19.42764;10.48768;10.59041;0.68329;0.65935;21.28744;-49.63292;1.72839;3.57054;4.05159;2.21716
95.44939;97.15340;0.01048;0.01031;0.00373;1.00000;1.00000;100.02113;100.03741;101.21426;101.21426;115.10227;116.47530;116.47530;9.41930;0.25268;0.02683;8.17181;525.41693;484.64392;384.06216;388.33432;-11.99474;-2.98866;21.61092;19.42876;10.48849;10.59091;0.68315;0.65926;21.25138;-49.58623;1.72917;3.56947;4.05015;2.21650
97.22157;98.65824;0.01029;0.01003;0.00370;1.00000;1.00000;100.01665;100.03033;101.20709;101.20709;115.09711;116.46704;116.46704;9.42051;0.25272;0.02683;8.16626;525.37561;484.63861;384.09814;388.35526;-11.97833;-2.98793;21.61031;19.42984;10.48915;10.59128;0.68297;0.65914;21.22864;-49.54743;1.71887;3.56850;4.04879;2.21585
98.02737;98.46396;0.01020;0.00997;0.00369;1.00000;1.00000;100.01116;100.02876;101.20547;101.20548;115.09079;116.46518;116.46519;9.42112;0.25276;0.02683;8.17526;525.42682;484.66940;384.14554;388.38815;-11.97268;-2.98340;21.61343;19.43172;10.49025;10.59204;0.68295;0.65915;21.27234;-49.57626;1.71010;3.56920;4.04956;2.21617
97.12402;96.45992;0.01030;0.00987;0.00362;1.00000;1.00000;100.00957;100.02867;101.20537;101.20537;115.08896;116.46507;116.46507;9.42062;0.25276;0.02683;8.17857;525.47534;484.65573;384.12463;388.37476;-11.98865;-2.96957;21.61573;19.43067;10.48979;10.59166;0.68307;0.65919;21.33104;-49.63669;1.73403;3.57036;4.05116;2.21689
97.28070;100.82678;0.01028;0.01004;0.00370;1.00000;1.00000;100.00925;100.02850;101.20518;101.20518;115.08859;116.46485;116.46484;9.42037;0.25274;0.02683;8.16554;525.45020;484.63492;384.09702;388.35443;-11.99424;-2.96781;21.61430;19.42957;10.48916;10.59113;0.68308;0.65917;21.31539;-49.62877;1.73813;3.57009;4.05089;2.21679
