f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
85.88791;95.84971;0.01164;0.01056;0.00348;1.00000;1.00000;97.61456;98.09119;99.25331;99.25325;112.33282;114.21867;114.21867;1.08669;-1.52304;5.89981;-0.06323;-1.05207;-36.72186;-73.08123;1014.31616;1010.95947;0.00000;1005.32593;-36.50000;-73.00000;2544.90381;227.27559;-37.49976;213.29010;-205.44258;3.51326;11.19744;0.38584;0.03446;9.47459;688.41003;633.21429;588.74304;594.36853;5.85513;20.03885;33.96800;30.00768;17.18103;17.37799;0.64654;0.73044;56.48802;-45.97866;3.04371;4.20175;4.11504;2.26008
90.62610;94.24183;0.01103;0.01064;0.00341;1.00000;1.00000;98.02156;98.44383;99.60984;99.60975;112.80120;114.62896;114.62896;1.05462;-1.46972;5.85916;-0.07635;-1.02091;-36.72140;-73.08118;1014.11249;1010.78516;0.00000;1005.15576;-36.50000;-73.00000;2545.31592;227.56636;-36.63235;209.13371;-202.45045;3.56318;11.18494;0.38314;0.03425;9.49784;688.42511;634.66223;589.04681;594.40491;5.77902;19.50872;33.84013;30.00121;17.14460;17.32995;0.64971;0.72906;54.71380;-44.84990;3.01753;4.16846;4.09983;2.25104
91.42978;95.06607;0.01094;0.01067;0.00349;1.00000;1.00000;98.38390;98.76141;99.93083;99.93073;113.21818;114.99835;114.99835;1.02704;-1.42548;5.82837;-0.08733;-0.99280;-36.72094;-73.08112;1013.87006;1010.57117;0.00000;1004.95166;-36.50000;-73.00000;2546.35889;227.88293;-35.89229;206.12166;-200.14066;3.21513;11.17398;0.38083;0.03408;9.50992;688.70251;636.02411;589.43463;594.61438;5.71406;19.05250;33.74574;29.99953;17.11709;17.29528;0.65267;0.72822;53.31200;-43.99821;2.95785;4.14407;4.09098;2.24525
93.58104;96.72114;0.01069;0.01082;0.00350;1.00000;1.00000;98.70499;99.04591;100.21831;100.21817;113.58768;115.32917;115.32918;1.00273;-1.39059;5.80658;-0.09440;-0.96890;-36.72048;-73.08105;1013.60114;1010.32941;0.00000;1004.71265;-36.50000;-73.00000;2547.49561;228.19609;-35.33538;203.17522;-198.08240;3.27149;11.16363;0.37882;0.03393;9.52885;689.09772;637.23651;589.77057;594.87372;5.63485;18.66972;33.67191;29.99664;17.09277;17.26787;0.65537;0.72782;52.16222;-43.34447;2.92731;4.12620;4.08628;2.24182
91.60172;92.46417;0.01092;0.01119;0.00365;1.00000;1.00000;98.99303;99.29999;100.47496;100.47481;113.91914;115.62452;115.62452;0.98104;-1.36184;5.79190;-0.09808;-0.94876;-36.72002;-73.08100;1013.31519;1010.06927;0.00000;1004.44684;-36.50000;-73.00000;2548.39966;228.47202;-34.87882;200.49869;-195.91080;3.22110;11.15410;0.37702;0.03380;9.54563;689.46454;638.26520;590.03259;595.11127;5.55162;18.33376;33.60901;29.99044;17.07002;17.24412;0.65773;0.72762;51.19915;-42.85444;2.89135;4.11250;4.08414;2.23973
91.58076;92.45562;0.01092;0.01090;0.00343;1.00000;1.00000;99.24953;99.52358;100.70076;100.70061;114.21432;115.88437;115.88437;0.96198;-1.33658;5.78216;-0.09932;-0.93221;-36.71955;-73.08094;1013.02130;1009.79993;0.00000;1004.16302;-36.50000;-73.00000;2549.02979;228.70218;-34.48807;197.99377;-193.65077;3.61304;11.14563;0.37542;0.03368;9.55462;689.70129;639.15173;590.25928;595.29773;5.47172;18.03820;33.55014;29.98401;17.04983;17.22300;0.65970;0.72743;50.26849;-42.36713;2.88517;4.09828;4.08082;2.23720
94.15793;98.37678;0.01062;0.01084;0.00336;1.00000;1.00000;99.47344;99.71568;100.89468;100.89453;114.47200;116.10754;116.10753;0.94566;-1.31138;5.77599;-0.09885;-0.91758;-36.71909;-73.08088;1012.72839;1009.53003;0.00000;1003.87421;-36.50000;-73.00000;2549.48730;228.88199;-34.02949;195.74881;-191.66653;3.10569;11.13887;0.37404;0.03358;9.55787;689.82861;639.91266;590.45258;595.46014;5.42673;17.75732;33.49587;29.97953;17.03263;17.20520;0.66137;0.72707;49.43869;-41.92356;2.81771;4.08516;4.07717;2.23441
91.92245;90.05764;0.01088;0.01056;0.00344;1.00000;1.00000;99.66954;99.88350;101.06407;101.06393;114.69766;116.30246;116.30246;0.93162;-1.29204;5.77161;-0.09715;-0.90418;-36.71862;-73.08083;1012.43542;1009.25897;0.00000;1003.57581;-36.50000;-73.00000;2549.90332;229.04404;-33.70922;193.90630;-190.25282;2.70536;11.13281;0.37284;0.03349;9.56028;689.98639;640.49738;590.62024;595.63129;5.37853;17.52533;33.45329;29.97257;17.01798;17.19073;0.66282;0.72686;48.82592;-41.62794;2.76783;4.07625;4.07563;2.23290
88.82784;84.13967;0.01126;0.00570;0.00314;1.00000;1.00000;99.72437;99.93050;101.11150;101.11134;114.76076;116.35704;116.35703;0.92770;-1.28790;5.77024;-0.09639;-0.90065;-36.71848;-73.08080;1012.34637;1009.17639;0.00000;1003.48639;-36.50000;-73.00000;2550.00562;229.09164;-33.66597;193.39821;-189.85109;2.91709;11.13094;0.37251;0.03347;9.56074;690.03680;640.64648;590.66608;595.67529;5.35635;17.46935;33.44199;29.96984;17.01390;17.18652;0.66322;0.72686;48.66043;-41.55178;2.77793;4.07391;4.07531;2.23261
90.28513;73.91530;0.01108;0.01057;0.00472;1.00000;1.00000;99.88641;100.06801;101.25021;101.25007;114.94723;116.51666;116.51665;0.91617;-1.27540;5.76515;-0.09353;-0.89121;-36.71801;-73.08075;1012.06201;1008.91205;0.00000;1003.19702;-36.50000;-73.00000;2550.21973;229.22121;-33.51048;191.59961;-188.56227;3.24380;11.12558;0.37152;0.03339;9.56509;690.15173;641.06781;590.77948;595.79773;5.29104;17.30354;33.40669;29.96141;17.00123;17.17401;0.66435;0.72682;48.15468;-41.31618;2.79083;4.06662;4.07402;2.23154
