  _Vind,_kias ;   _Vind,_keas ;   Vtrue,_ktas ;   Vtrue,_ktgs ;   _Vind,__mph ;   Vtrue,mphas ;   Vtrue,mphgs ;   __lat,__deg ;   __lon,__deg ;   __alt,ftmsl ;   __alt,ftagl ;   ___on,runwy ;   __alt,__ind ;   __lat,orign ;   __lon,orign ;   __L/D,ratio ;   ___cl,total ;   ___cd,total ;   __L/D,*etaP ;   wing1,_lift ;   wing1,_lift ;   wing2,_lift ;   wing2,_lift ;   wing3,_lift ;   wing3,_lift ;   wing1,_drag ;   wing1,_drag ;   wing2,_drag ;   wing2,_drag ;   wing3,_drag ;   wing3,_drag ; 
59.80041;62.25573;63.13861;63.02111;68.81709;72.65862;72.65862;-36.81154;-73.08818;954.22888;917.15417;1;938.26819;-36.5;-73;10.31995;0.73511;0.07123;7.64394;480.84836;441.51703;466.71536;468.4288;21.60793;33.33422;35.47158;30.85976;21.79429;21.77537;0.46519;0.7652; 
59.49233;62.21934;63.1077;62.99516;68.46255;72.62305;72.62305;-36.81125;-73.08813;960.6532;921.1759;1;945.01337;-36.5;-73;10.25255;0.74125;0.0723;7.39987;486.43497;442.91736;468.83798;469.46609;21.17042;34.43382;36.1263;30.95874;22.10003;21.84135;0.45785;0.79909; 
59.47952;62.57412;63.47352;63.36218;68.44781;73.04403;73.04403;-36.81096;-73.08809;967.03162;924.2655;1;951.51019;-36.5;-73;10.2117;0.73143;0.07163;7.60445;491.76968;442.51569;464.75644;465.1814;18.95348;36.06059;36.05343;30.30326;21.55485;21.27079;0.4245;0.84354; 
59.82925;62.93421;63.84468;63.74398;68.85027;73.47115;73.47114;-36.81067;-73.08804;973.27069;927.15509;1;957.87207;-36.5;-73;10.28597;0.71399;0.06941;8.07348;487.78806;439.04736;457.70203;459.28519;17.64355;35.76279;35.04854;29.50261;20.66465;20.60059;0.40742;0.82933; 
60.22131;63.02213;63.93927;63.86375;69.30145;73.58;73.58001;-36.81037;-73.08801;978.98621;929.50836;1;964.05225;-36.5;-73;10.42105;0.7044;0.06759;8.4037;478.37177;435.6991;454.65356;457.33676;18.53866;33.732;34.06674;29.2619;20.27207;20.39082;0.4188;0.76988; 
60.38717;62.9419;63.86235;63.81389;69.49232;73.49149;73.49149;-36.81007;-73.08797;983.73828;932.91003;1;969.6615;-36.5;-73;10.48262;0.70657;0.0674;8.26786;473.01376;435.50571;458.16095;460.48779;20.20572;32.22578;33.91292;29.63579;20.59463;20.66959;0.44288;0.72985; 
60.37988;62.94866;63.87271;63.84259;69.48393;73.50341;73.50341;-36.80978;-73.08794;987.45703;936.49469;1;974.33685;-36.5;-73;10.45297;0.71284;0.06819;8.04359;474.90039;437.9866;464.25806;465.71732;20.79062;32.50643;34.43631;30.13214;21.15187;21.07697;0.45193;0.73801; 
60.42611;63.14093;64.07063;64.04975;69.53712;73.73116;73.73117;-36.80949;-73.08791;990.46088;939.36493;1;978.10858;-36.5;-73;10.40655;0.7157;0.06877;8.0939;480.16919;441.39481;469.16406;470.28851;20.3641;33.68075;35.00376;30.43817;21.48965;21.35705;0.44529;0.76932; 
60.63372;63.38384;64.31954;64.30328;69.77604;74.01761;74.0176;-36.80919;-73.08788;993.04852;941.8194;1;981.185;-36.5;-73;10.41324;0.71331;0.0685;8.36188;482.23517;443.41934;471.17715;472.66153;20.06276;34.10509;35.07812;30.5239;21.49695;21.43933;0.44112;0.779; 
60.89323;63.50303;64.44266;64.43031;70.07468;74.15929;74.1593;-36.8089;-73.08785;995.32666;943.96576;1;983.80341;-36.5;-73;10.46269;0.71018;0.06788;8.58647;479.69797;443.62708;471.92581;473.78995;20.52088;33.43456;34.80846;30.58882;21.45071;21.47499;0.44848;0.75889; 
61.04815;63.48328;64.42447;64.41615;70.25296;74.13836;74.13836;-36.8086;-73.08783;997.27576;945.78271;1;986.10156;-36.5;-73;10.49744;0.71039;0.06767;8.53924;476.41299;443.38553;473.57214;475.30606;21.32875;32.6229;34.66386;30.77416;21.589;21.60617;0.46182;0.73707; 
61.06178;63.4421;64.38414;64.37883;70.26865;74.09194;74.09194;-36.8083;-73.08781;998.83423;947.53827;1;988.03003;-36.5;-73;10.49336;0.71346;0.06799;8.35401;476.02963;443.98557;476.33899;477.59216;21.79622;32.499;34.84452;31.02547;21.86756;21.81318;0.46968;0.73449; 
61.04163;63.48109;64.42491;64.42112;70.24546;74.13887;74.13887;-36.80801;-73.08778;1000.10669;949.53674;1;989.60529;-36.5;-73;10.47116;0.71585;0.06836;8.29039;478.22113;445.37662;478.78012;479.71204;21.73606;32.953;35.14059;31.19871;22.07592;21.96677;0.4686;0.74702; 
61.08956;63.58712;64.53359;64.53032;70.30061;74.26393;74.26392;-36.80771;-73.08777;1001.2428;951.39545;1;990.91718;-36.5;-73;10.46222;0.71528;0.06837;8.41134;480.07666;446.4256;479.68423;480.68597;21.43281;33.37676;35.2562;31.22092;22.09222;21.99232;0.46357;0.75784; 
61.19823;63.66552;64.61417;64.61128;70.42567;74.35665;74.35665;-36.80741;-73.08775;1002.3056;953.16711;1;992.06891;-36.5;-73;10.47807;0.71302;0.06805;8.57179;479.51218;446.38983;479.38882;480.63165;21.34378;33.30709;35.12868;31.17102;22.00237;21.94934;0.46217;0.7551; 
61.28505;63.66578;64.61536;64.61314;70.52558;74.35803;74.35802;-36.80711;-73.08775;1003.27448;954.83704;1;993.13416;-36.5;-73;10.50202;0.71184;0.06778;8.61185;477.4689;445.82913;479.255;480.60062;21.62714;32.86668;34.95877;31.17999;21.97397;21.94887;0.46695;0.74302; 
61.29692;63.62071;64.57038;64.56895;70.53924;74.30627;74.30627;-36.80682;-73.08773;1004.08612;956.34082;1;994.08905;-36.5;-73;10.51083;0.7128;0.06782;8.52345;476.15482;445.62543;480.01624;481.22116;21.99894;32.54305;34.93994;31.27767;22.06657;22.02383;0.47353;0.73461; 
61.25971;63.59533;64.54524;64.54431;70.49642;74.27734;74.27734;-36.80652;-73.08772;1004.73389;956.7287;1;994.89349;-36.5;-73;10.50123;0.71462;0.06805;8.44055;476.53455;446.04373;481.24615;482.23056;22.12842;32.61303;35.069;31.3908;22.20046;22.12006;0.47582;0.73698; 
61.2352;63.61292;64.56359;64.56289;70.46821;74.29846;74.29845;-36.80622;-73.08772;1005.27087;956.89148;1;995.54962;-36.5;-73;10.4887;0.71553;0.06822;8.46544;477.64105;446.63309;482.07834;482.9931;22.01016;32.89087;35.19583;31.44638;22.27034;22.17527;0.47365;0.74451; 
