f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
89.41460;90.76881;0.01118;0.01088;0.00389;1.00000;1.00000;94.27288;94.42471;109.60702;109.60397;108.48730;126.13351;126.13351;1.53365;-1.64037;141.31335;-0.42816;-1.01644;11.30613;0.41867;0.03703;8.56477;674.90698;621.54114;600.87494;606.28809;9.65957;24.09657;35.08870;30.96675;18.30306;18.50570;0.60452;0.71878;57.02085;-41.53098;3.18963;3.95434;3.78858;2.08123
90.00291;94.01147;0.01111;0.01082;0.00379;1.00000;1.00000;94.44523;94.57603;109.78043;109.77802;108.68563;126.33307;126.33308;1.51286;-1.63054;141.31094;-0.37946;-1.01417;11.29859;0.41708;0.03691;8.55306;674.93292;621.69836;600.37122;605.74542;9.50918;23.89633;35.01451;30.91334;18.25140;18.45200;0.60561;0.71810;56.75742;-41.54980;3.17520;3.95418;3.79528;2.08466
90.79797;90.54690;0.01101;0.01106;0.00391;1.00000;1.00000;94.59946;94.71218;109.93645;109.93456;108.86311;126.51263;126.51263;1.49419;-1.62135;141.30847;-0.33755;-1.01195;11.29159;0.41564;0.03681;8.54149;674.94446;621.84003;599.91028;605.24298;9.37503;23.71294;34.94714;30.86562;18.20510;18.40341;0.60661;0.71748;56.51235;-41.57589;3.16107;3.95392;3.80143;2.08775
89.54060;94.39305;0.01117;0.01108;0.00381;1.00000;1.00000;94.73837;94.83459;110.07674;110.07524;109.02296;126.67406;126.67407;1.47795;-1.61392;141.30534;-0.30076;-1.01000;11.28529;0.41438;0.03672;8.53199;675.00024;622.00977;599.55487;604.84338;9.25431;23.55870;34.89093;30.82659;18.16649;18.36232;0.60752;0.71704;56.29883;-41.59159;3.16529;3.95387;3.80689;2.09060
89.54373;83.80824;0.01117;0.01090;0.00377;1.00000;1.00000;94.86134;94.94382;110.20192;110.20071;109.16448;126.81812;126.81812;1.46373;-1.60667;141.30148;-0.26840;-1.00837;11.27984;0.41329;0.03664;8.52306;675.06476;622.18738;599.26361;604.51221;9.15262;23.41957;34.84212;30.79422;18.13342;18.32700;0.60835;0.71665;56.11470;-41.59912;3.15397;3.95401;3.81170;2.09309
85.62019;69.71556;0.01168;0.01125;0.00396;1.00000;1.00000;94.97282;95.04267;110.31525;110.31429;109.29278;126.94852;126.94852;1.45084;-1.60167;141.29730;-0.23968;-1.00705;11.27458;0.41230;0.03657;8.51514;675.12463;622.33295;598.98993;604.19916;9.04957;23.30299;34.79807;30.76385;18.10322;18.29470;0.60907;0.71639;55.94629;-41.60926;3.17424;3.95411;3.81612;2.09549
88.99686;81.99409;0.01124;0.01222;0.00387;1.00000;1.00000;95.07381;95.13246;110.41817;110.41740;109.40900;127.06697;127.06697;1.43945;-1.59567;141.29288;-0.21399;-1.00583;11.27007;0.41141;0.03651;8.50681;675.19653;622.50098;598.77618;603.95288;8.96841;23.19047;34.75960;30.73935;18.07737;18.26731;0.60978;0.71610;55.78612;-41.62321;3.16212;3.95418;3.82017;2.09753
83.41234;64.01229;0.01199;0.01157;0.00395;1.00000;1.00000;95.16458;95.21339;110.51095;110.51033;109.51345;127.17374;127.17374;1.42925;-1.59101;141.28839;-0.19070;-1.00480;11.26592;0.41063;0.03645;8.50053;675.27002;622.65100;598.58887;603.73334;8.89085;23.09447;34.72572;30.71725;18.05441;18.24291;0.61040;0.71590;55.64914;-41.63001;3.16465;3.95448;3.82377;2.09943
90.89565;93.21402;0.01100;0.01095;0.00374;1.00000;1.00000;95.24632;95.28587;110.59405;110.59355;109.60751;127.26936;127.26936;1.41995;-1.58660;141.28418;-0.16982;-1.00383;11.26211;0.40991;0.03640;8.49508;675.31824;622.77045;598.39862;603.51471;8.82123;23.00434;34.69382;30.69621;18.03300;18.22014;0.61097;0.71569;55.52626;-41.63722;3.16164;3.95477;3.82704;2.10113
88.19765;92.59259;0.01134;0.01102;0.00381;1.00000;1.00000;95.32015;95.35147;110.66928;110.66890;109.69247;127.35593;127.35594;1.41152;-1.58261;141.28017;-0.15132;-1.00297;11.25864;0.40926;0.03635;8.48934;675.35931;622.87512;598.22351;603.31262;8.75781;22.92244;34.66481;30.67699;18.01356;18.19942;0.61148;0.71555;55.41455;-41.64156;3.15950;3.95502;3.82995;2.10266
87.72733;79.14523;0.01140;0.01148;0.00396;1.00000;1.00000;95.38644;95.41029;110.73673;110.73641;109.76876;127.43356;127.43356;1.40386;-1.57889;141.27652;-0.13502;-1.00217;11.25543;0.40867;0.03631;8.48333;675.38403;622.95801;598.05139;603.11652;8.70051;22.84663;34.63779;30.65888;17.99553;18.18014;0.61194;0.71542;55.30542;-41.65420;3.15542;3.95510;3.83267;2.10403
90.23438;89.43743;0.01108;0.01099;0.00378;1.00000;1.00000;95.44663;95.46395;110.79828;110.79803;109.83803;127.50439;127.50439;1.39720;-1.57585;141.27341;-0.12051;-1.00145;11.25259;0.40815;0.03627;8.47921;675.43903;623.06006;597.93317;602.97626;8.64956;22.78302;34.61609;30.64464;17.98083;18.16432;0.61237;0.71535;55.21275;-41.66124;3.15770;3.95532;3.83509;2.10529
89.18011;85.82954;0.01121;0.01128;0.00391;1.00000;1.00000;95.50122;95.51308;110.85464;110.85445;109.90085;127.56925;127.56924;1.39119;-1.57273;141.27019;-0.10711;-1.00074;11.25009;0.40769;0.03624;8.47484;675.49579;623.16376;597.83398;602.85950;8.60619;22.72341;34.59679;30.63243;17.96783;18.15037;0.61278;0.71528;55.13571;-41.66487;3.15177;3.95570;3.83733;2.10646
85.83986;82.25714;0.01165;0.01087;0.00391;1.00000;1.00000;95.55024;95.55623;110.90414;110.90398;109.95725;127.62621;127.62620;1.38579;-1.57031;141.26767;-0.09524;-1.00014;11.24776;0.40727;0.03621;8.47104;675.53387;623.23975;597.73151;602.73914;8.56441;22.67164;34.57889;30.62051;17.95573;18.13738;0.61314;0.71523;55.06115;-41.66975;3.15437;3.95587;3.83927;2.10747
88.88406;92.43853;0.01125;0.01097;0.00378;1.00000;1.00000;95.59473;95.59637;110.95022;110.95010;110.00846;127.67924;127.67924;1.38114;-1.56787;141.26512;-0.08391;-0.99959;11.24582;0.40692;0.03618;8.46864;675.60400;623.34650;597.68219;602.67505;8.53097;22.62655;34.56532;30.61242;17.94650;18.12743;0.61350;0.71520;54.99894;-41.66746;3.15204;3.95619;3.84101;2.10840
88.07777;87.13078;0.01135;0.01136;0.00383;1.00000;1.00000;95.63501;95.63148;110.99051;110.99043;110.05481;127.72561;127.72562;1.37611;-1.56578;141.26295;-0.07411;-0.99914;11.24362;0.40653;0.03616;8.46535;675.57458;623.34949;597.51740;602.49823;8.49046;22.57640;34.54534;30.59783;17.93310;18.11348;0.61378;0.71509;54.92953;-41.67745;3.15078;3.95614;3.84267;2.10923
86.27624;76.78133;0.01159;0.01109;0.00373;1.00000;1.00000;95.67085;95.66385;111.02766;111.02760;110.09605;127.76836;127.76837;1.37176;-1.56369;141.26086;-0.06615;-0.99869;11.24175;0.40619;0.03613;8.46143;675.57477;623.38092;597.40094;602.37372;8.45759;22.53230;34.52930;30.58676;17.92232;18.10231;0.61406;0.71501;54.86943;-41.68547;3.14663;3.95621;3.84419;2.11000
88.20743;92.02172;0.01134;0.01127;0.00379;1.00000;1.00000;95.70392;95.69403;111.06234;111.06229;110.13411;127.80827;127.80827;1.36799;-1.56219;141.25923;-0.05952;-0.99831;11.24007;0.40590;0.03611;8.45949;675.60339;623.43250;597.32587;602.29156;8.42698;22.49718;34.51694;30.57833;17.91380;18.09342;0.61431;0.71499;54.81802;-41.68904;3.15186;3.95636;3.84555;2.11073
88.89270;91.19927;0.01125;0.01107;0.00389;1.00000;1.00000;95.73400;95.72020;111.09238;111.09234;110.16872;127.84283;127.84283;1.36506;-1.56022;141.25778;-0.05322;-0.99789;11.23886;0.40568;0.03610;8.45717;675.65283;623.51074;597.30176;602.26111;8.40856;22.46594;34.50850;30.57382;17.90823;18.08751;0.61455;0.71496;54.77601;-41.68844;3.14310;3.95656;3.84669;2.11129
90.54295;87.36677;0.01104;0.01106;0.00389;1.00000;1.00000;95.76099;95.74462;111.12043;111.12039;110.19978;127.87511;127.87511;1.36190;-1.55855;141.25597;-0.04737;-0.99745;11.23749;0.40543;0.03608;8.45478;675.66302;623.54651;597.22729;602.18066;8.38577;22.43316;34.49731;30.56644;17.90079;18.07969;0.61477;0.71491;54.73548;-41.69429;3.13831;3.95674;3.84788;2.11189
88.81259;89.27775;0.01126;0.01113;0.00394;1.00000;1.00000;95.78617;95.76867;111.14809;111.14806;110.22876;127.90694;127.90694;1.35899;-1.55707;141.25432;-0.04225;-0.99704;11.23620;0.40521;0.03606;8.45246;675.69293;623.59912;597.17828;602.12646;8.36452;22.40412;34.48810;30.56064;17.89454;18.07310;0.61498;0.71489;54.69698;-41.70141;3.13764;3.95697;3.84907;2.11251
87.97650;85.01955;0.01137;0.01117;0.00379;1.00000;1.00000;95.80962;95.79022;111.17287;111.17284;110.25575;127.93546;127.93546;1.35665;-1.55660;141.25365;-0.03742;-0.99686;11.23510;0.40503;0.03605;8.45062;675.74713;623.66205;597.16510;602.10815;8.34250;22.38668;34.48238;30.55688;17.89028;18.06857;0.61516;0.71494;54.66768;-41.69769;3.15202;3.95723;3.84998;2.11306
86.18980;84.21762;0.01160;0.01104;0.00396;1.00000;1.00000;95.83112;95.80779;111.19304;111.19302;110.28049;127.95867;127.95867;1.35399;-1.55531;141.25253;-0.03313;-0.99679;11.23398;0.40482;0.03604;8.44896;675.71741;623.65076;597.06256;602.00415;8.32188;22.35856;34.47102;30.54858;17.88276;18.06099;0.61531;0.71486;54.63197;-41.70095;3.14270;3.95719;3.85078;2.11345
86.17040;88.69180;0.01160;0.01123;0.00398;1.00000;1.00000;95.84950;95.82439;111.21214;111.21213;110.30164;127.98064;127.98065;1.35167;-1.55385;141.25127;-0.03020;-0.99643;11.23294;0.40464;0.03602;8.44847;675.70508;623.66095;596.99097;601.92731;8.30653;22.33192;34.46175;30.54239;17.87681;18.05471;0.61545;0.71479;54.59315;-41.71290;3.13526;3.95710;3.85165;2.11382
40.38736;21.23323;0.02476;0.01718;0.00561;1.00000;1.00000;95.86735;95.84177;111.23211;111.23210;110.32217;128.00363;128.00365;1.34991;-1.55292;141.25011;-0.02720;-0.99611;11.23219;0.40451;0.03601;8.44654;675.75720;623.72797;596.99878;601.92651;8.29398;22.31571;34.45792;30.54068;17.87421;18.05167;0.61561;0.71481;54.57149;-41.70744;3.13902;3.95736;3.85235;2.11423
88.79438;88.12125;0.01126;0.01961;0.00318;1.00000;1.00000;95.88457;95.85752;111.25024;111.25023;110.34200;128.02451;128.02451;1.34822;-1.55202;141.24893;-0.02430;-0.99592;11.23143;0.40438;0.03600;8.44569;675.79645;623.78107;596.99500;601.91394;8.28181;22.29954;34.45366;30.53847;17.87135;18.04840;0.61576;0.71482;54.54517;-41.71007;3.13842;3.95748;3.85309;2.11460
88.70765;84.70987;0.01127;0.01100;0.00378;1.00000;1.00000;95.90096;95.87358;111.26876;111.26875;110.36086;128.04581;128.04579;1.34655;-1.55092;141.24762;-0.02125;-0.99566;11.23072;0.40425;0.03599;8.44324;675.83966;623.84119;596.99634;601.90747;8.27113;22.28232;34.44961;30.53668;17.86867;18.04531;0.61591;0.71483;54.52139;-41.71069;3.13533;3.95767;3.85383;2.11498
87.00420;91.30753;0.01149;0.01092;0.00373;1.00000;1.00000;95.91636;95.88778;111.28513;111.28513;110.37858;128.06464;128.06465;1.34462;-1.55054;141.24701;-0.01827;-0.99548;11.22977;0.40410;0.03598;8.44295;675.83899;623.84821;596.94189;601.84509;8.25272;22.26613;34.44257;30.53130;17.86389;18.04012;0.61602;0.71482;54.49374;-41.71467;3.14491;3.95767;3.85451;2.11536
88.03342;92.21690;0.01136;0.01111;0.00380;1.00000;1.00000;95.93008;95.89820;111.29710;111.29709;110.39436;128.07841;128.07841;1.34311;-1.55014;141.24638;-0.01621;-0.99547;11.22906;0.40398;0.03598;8.44192;675.82831;623.84430;596.89087;601.78766;8.23881;22.25244;34.43653;30.52667;17.85989;18.03584;0.61610;0.71480;54.46815;-41.71944;3.14654;3.95756;3.85498;2.11559
89.21419;91.23255;0.01121;0.01122;0.00394;1.00000;1.00000;95.94116;95.90658;111.30673;111.30672;110.40712;128.08951;128.08949;1.34212;-1.54915;141.24567;-0.01427;-0.99535;11.22871;0.40391;0.03597;8.44128;675.83618;623.86603;596.87744;601.76978;8.23446;22.23958;34.43314;30.52497;17.85785;18.03362;0.61618;0.71477;54.45496;-41.71531;3.13539;3.95763;3.85528;2.11573
76.87468;73.73543;0.01301;0.01159;0.00409;1.00000;1.00000;95.95165;95.92835;111.33193;111.33193;110.41920;128.11850;128.11850;1.34098;-1.54558;141.24677;-0.01211;-0.98937;11.37139;0.40379;0.03551;8.54649;676.00439;624.05811;597.03296;601.89502;8.24688;22.21479;34.43694;30.53171;17.86067;18.03552;0.61648;0.71476;54.48000;-41.67493;3.05754;3.95908;3.85591;2.11602
87.22678;87.53500;0.01146;0.01232;0.00385;1.00000;1.00000;95.97309;95.95463;111.36235;111.36234;110.44386;128.15352;128.15349;1.33827;-1.54027;141.25006;-0.00857;-0.98156;11.37058;0.40358;0.03549;8.54436;676.06195;624.18042;597.03809;601.90277;8.25409;22.16223;34.42917;30.53047;17.85642;18.03122;0.61680;0.71457;54.44417;-41.67682;2.99271;3.95948;3.85716;2.11640
86.65617;86.58009;0.01154;0.01089;0.00383;1.00000;1.00000;95.99844;95.97956;111.39125;111.39126;110.47304;128.18677;128.18678;1.33506;-1.54173;141.25293;-0.00505;-0.97717;11.36866;0.40334;0.03548;8.54146;676.09137;624.19434;596.96045;601.81152;8.21000;22.14959;34.41965;30.52115;17.84893;18.02291;0.61696;0.71470;54.40747;-41.68042;3.05719;3.95968;3.85839;2.11725
88.05591;92.48981;0.01136;0.01095;0.00371;1.00000;1.00000;96.02332;96.00301;111.41843;111.41843;110.50166;128.21805;128.21805;1.33181;-1.53913;141.25499;-0.00304;-0.97478;11.36747;0.40309;0.03546;8.54041;676.07513;624.21191;596.85760;601.70929;8.19169;22.10877;34.40661;30.51275;17.84045;18.01443;0.61718;0.71458;54.36647;-41.68706;3.02131;3.95985;3.85953;2.11774
